,Job_ID,Job_Title,Location,Company,Date,Salary,Description,url
0,2688513003b7e929,software design engineer in test,"Redmond, WA",Aquent,3 days ago,None,Proven track record of software development testing. 1+ years' of industry experience in software or services engineering. Writes test automation scripts (C#).,https://www.indeed.com/viewjob?jk=2688513003b7e929&vjs=3
1,7eefbcf64315a3d1,front end developer- typescript (ms2157),"Redmond, WA 98052","Akvelon, Inc.",9 days ago,None,"The ideal candidate would be expert in web client technologies (HTML, TypeScript, KnockOutJS), have good knowledge about the Ibiza Framework, controls and…",https://www.indeed.com/viewjob?jk=7eefbcf64315a3d1&vjs=3
2,2c54bd90266fe190,junior software development consultant,United States,FDM Group,30+ days ago,None,Able to commit to a two-year contract with FDM upon completion of the training period. Ongoing training and development through FDM mentors and virtual learning…,https://www.indeed.com/viewjob?jk=2c54bd90266fe190&vjs=3
3,3cc9cf1e8e520776,associate producer | pib (game producer),"Seattle, WA 98103 (Fremont area)",Aquent,14 days ago,None,"Experience with producing engineers/engineering teams. Proficiency with Microsoft Office software – Outlook, Excel, and Project.",https://www.indeed.com/viewjob?jk=3cc9cf1e8e520776&vjs=3
4,5e6516c682dad7cf,developer with oracle mantas,"Seattle, WA","Pyramid Consulting, Inc",Today,None,Need someone who can also support Oracle Mantas.,https://www.indeed.com/viewjob?jk=5e6516c682dad7cf&vjs=3
5,b4d692defb2225fe,dot net technical lead,"Seattle, WA",Compunnel Inc.,15 days ago,None,"Experience in writing SQL/stored procedures using Oracle, MS-SQL. Architecture assistance for the applications. Tools of EOS ITPM System Code/Configuration.",https://www.indeed.com/viewjob?jk=b4d692defb2225fe&vjs=3
6,d66dd4cfe7522856,technical consultant - 295654,"Seattle, WA",Procom,8 days ago,None,5+ years of experience in a full-stack environment utilizing both server-side development & client-side development to deployment.,https://www.indeed.com/viewjob?jk=d66dd4cfe7522856&vjs=3
7,96876de06a71b299,producer,"Seattle, WA 98103 (Fremont area)",Aquent,7 days ago,None,Monitor and report on the progress of all project activity within the project including significant milestones and any conditions which would affect project…,https://www.indeed.com/viewjob?jk=96876de06a71b299&vjs=3
8,8dda1fdb62ba893d,game designer,"Redmond, WA",Aquent,15 days ago,None,"Have great attention to detail and an ability to multitask. The ideal candidate will be highly detail-oriented, a strong problem-solver, a quick learner,…",https://www.indeed.com/viewjob?jk=8dda1fdb62ba893d&vjs=3
9,0c9e8f2b7f6da359,"software development engineer, aws (seattle, wa)","Seattle, WA","Amazon Web Services, Inc.",30+ days ago,None,"Knowledge of software engineering best practices and the full software development life cycle, including coding standards, code reviews, source control…",https://www.indeed.com/viewjob?jk=0c9e8f2b7f6da359&vjs=3
10,619f64d42669b250,product marketing manager (saas ),"Seattle, WA",Volt Workforce Solutions,Just posted,None,This client is dynamic B2B SaaS company based in Seattle that provides cloud-based software for sales tax and other indirect taxes.,https://www.indeed.com/viewjob?jk=619f64d42669b250&vjs=3
11,3f7bb575d4d62813,software engineer,"Redmond, WA 98052 (Overlake area)",HCL America Inc,1 day ago,None,"The immediate opportunity and a high-level requirement is to create a new web application, which will provide capabilities to ingest specific requirements from…",https://www.indeed.com/viewjob?jk=3f7bb575d4d62813&vjs=3
12,eb0dabe0c02493e9,"software development engineer-seattle, wa","Seattle, WA",R1 RCM Inc.,30+ days ago,None,"Understanding of modern software development methodologies including version control, unit testing, and continuous deployment. 10 year(s): 10+ years.",https://www.indeed.com/viewjob?jk=eb0dabe0c02493e9&vjs=3
13,bf3a64422a8419a9,senior software engineer - resume,"Seattle, WA",Indeed,30+ days ago,None,"We will use the right tool for the right situation (e. g. , machine learning and other automation techniques) to offload the repetitive, time-consuming tasks so…",https://www.indeed.com/viewjob?jk=bf3a64422a8419a9&vjs=3
14,26bf1c1c270fa9d3,software engineer,"Seattle, WA 98102 (Eastlake area)",Barn2Door,30+ days ago,None,Comfortable collaborating with other engineers. Seeking a highly talented Software Engineer that is passionate about creating and supporting next generation…,https://www.indeed.com/viewjob?jk=26bf1c1c270fa9d3&vjs=3
15,7c144632e18c766f,senior software engineer - us,"Seattle, WA 98119 (Queen Anne area)",Luminex,30+ days ago,None,"Using object-oriented methodologies, develop user interface software to meet product design specifications. Actively participate in the full software life cycle…",https://www.indeed.com/viewjob?jk=7c144632e18c766f&vjs=3
16,b7050e9f34436bb8,"software engineer 1, full-stack - digital innovation group","Seattle, WA 98194 (Downtown area)",Providence Health & Services,Today,None,"To have the knowledge of commonly used concepts, practices, and procedures of software engineering involving fullstack development.",https://www.indeed.com/viewjob?jk=b7050e9f34436bb8&vjs=3
17,b43663f004b80ea5,"director, software engineering","Seattle, WA",SoFi,30+ days ago,None,Masters or PhD in Computer Science or Engineering with 10+ years of relevant software development and engineering management experience.,https://www.indeed.com/rc/clk?jk=b43663f004b80ea5&fccid=7c3a1f1f98dde031&vjs=3
18,deebcb8a5b5fe154,senior backend engineer,"Bellevue, WA",Epic Games,30+ days ago,None,"Experience solving impactful technical challenges; we look for people who can assess a challenge, craft a scalable architecture, and run with implementation.",https://www.indeed.com/rc/clk?jk=deebcb8a5b5fe154&fccid=194eef4c168b8cc5&vjs=3
19,d5e46c7db636859b,"games release manager (seattle, wa)","Seattle, WA",Private Division,30+ days ago,None,"Collaborate with our developer partners, the marketing team, the QA team, and the production team. Flexibility and willingness to work odd hours as needed to…",https://www.indeed.com/rc/clk?jk=d5e46c7db636859b&fccid=740a8e201873c657&vjs=3
20,a9414f7ac488f7a9,"staff software engineer, hcx seattle, wa","Seattle, WA",NSBU,30+ days ago,None,Senior hands on software lead developer who has been involved in the design and development of scaled cloud services. Experience in Cloud Native Architectures.,https://www.indeed.com/rc/clk?jk=a9414f7ac488f7a9&fccid=540f0b1116643421&vjs=3
21,054545e09d7f6179,devops engineer (phantom works),"Tukwila, WA 98108 (Georgetown area)",BOEING,30+ days ago,None,Facilitate software change control board (CCB). 5 years or more of experience on aerospace platforms or similar highly regulated products.,https://www.indeed.com/rc/clk?jk=054545e09d7f6179&fccid=edae4285faf6c2f0&vjs=3
22,18b6197a79a3ccfc,sr. front-end engineer,"Seattle, WA",Porch,30+ days ago,None,"Focused on assisting customers at every stage of the “home journey” – including moving in, installations, assembly, repairs, and ongoing maintenance – last year…",https://www.indeed.com/rc/clk?jk=18b6197a79a3ccfc&fccid=8ee7a0e69adb9e08&vjs=3
23,62b770259d765b97,senior software engineer - traffic & networking,"Seattle, WA",Splunk,30+ days ago,None,You will be developing and extending a control plane to scale and secure Kubernetes deployments and their traffic ingress requirements on various cloud…,https://www.indeed.com/rc/clk?jk=62b770259d765b97&fccid=aef928e89977f7f0&vjs=3
24,88498a6fdc6b80f1,software engineer in machine learning systems,"Seattle, WA",Bytedance,30+ days ago,None,"You will be responsible for the development of our machine learning system, including key computing component development, task scheduling, machine learning…",https://www.indeed.com/rc/clk?jk=88498a6fdc6b80f1&fccid=74fbc768a4e5bece&vjs=3
25,7a2d95b1fdd3e3b6,front-end development engineer ii,"Seattle, WA",Amazon.com Services LLC,30+ days ago,None,Understands front-end software best practices including client side performance optimization and how to mitigate information security risks.,https://www.indeed.com/viewjob?jk=7a2d95b1fdd3e3b6&vjs=3
26,62a78ba567752cc3,devops engineer,United States,Dynatron Software,17 days ago,None,We’re looking for an experienced DevOps Engineer with a demonstrated track record of successfully managing day-to-day tasks while at the same time leading…,https://www.indeed.com/viewjob?jk=62a78ba567752cc3&vjs=3
27,6e3e679eb66d4ed2,java technical lead,"Seattle, WA",Compunnel Inc.,15 days ago,None,"Experience in writing SQL/stored procedures using Oracle, MS-SQL. Architecture assistance for the applications. Tools of EOS ITPM System Code/Configuration.",https://www.indeed.com/viewjob?jk=6e3e679eb66d4ed2&vjs=3
28,4c17f216223c25c0,front-end development engineer ii remote,"Seattle, WA",Amazon.com Services LLC,30+ days ago,None,Understands front-end software best practices including client side performance optimization and how to mitigate information security risks.,https://www.indeed.com/viewjob?jk=4c17f216223c25c0&vjs=3
29,a2b34e74e7a31754,senior software test engineer,"Seattle, WA 98103 (Fremont area)",DoubleDown Interactive,29 days ago,None,"5-8+ years programming in C#, Java or similar OOP language. Task driven with a great attitude and ability to communicate with many cross functional teams.",https://www.indeed.com/viewjob?jk=a2b34e74e7a31754&vjs=3
30,403955839728420b,principal/senior software engineer,"Seattle, WA 98101 (Downtown area)",Liberty Mutual Insurance,1 day ago,None,"Strong enterprise-level software development experience in an object-oriented language, preferably Java/J2EE. This developer will work with other engineers on a…",https://www.indeed.com/viewjob?jk=403955839728420b&vjs=3
31,74a287a126fcdd95,sr. devops engineer,"Seattle, WA",Logical Paradigm LLC,30+ days ago,None,"Be available and flexible to be asked to take care of issue anytime dayor night. Excellent communication, owns things and is accountable.",https://www.indeed.com/viewjob?jk=74a287a126fcdd95&vjs=3
32,736325e8c2e149bb,jr. mobile developer - c#/xamarin,"Kent, WA 98032",Digital Control Inc,30+ days ago,None,"Self-driven, results oriented developer who strives to write clean, modular and well commented code without taking short-cuts and drives their software through…",https://www.indeed.com/viewjob?jk=736325e8c2e149bb&vjs=3
33,fdaa56b17d758ab0,senior software engineer,"Seattle, WA",Varsity Tutors,30+ days ago,None,"Experience with Ruby on Rails or similar web frameworks (e. g.  Django) preferred. Be effective in a team environment working with fellow engineers, product…",https://www.indeed.com/viewjob?jk=fdaa56b17d758ab0&vjs=3
